signal,human_si,wcs
S08767_L0206_E001,0.0,0.0
S08778_L0212_E001,0.0,0.0
S08778_L0221_E001,28.5714285714,0.0
S08779_L0212_E001,100.0,14.285714285714286
S08779_L0221_E001,71.4285714286,42.857142857142854
S08780_L0206_E001,100.0,100.0
S08780_L0212_E001,100.0,100.0
S08781_L0201_E001,0.0,25.0
S08782_L0243_E001,85.7142857143,85.71428571428571
S08785_L0224_E001,77.7777777778,0.0
S08790_L0240_E001,90.0,100.0
S08791_L0200_E001,28.5714285714,71.42857142857143
S08791_L0240_E001,85.7142857143,100.0
S08793_L0217_E001,0.0,0.0
S08794_L0216_E001,100.0,100.0
S08798_L0229_E001,0.0,0.0
S08800_L0243_E001,0.0,11.11111111111111
S08809_L0224_E001,0.0,33.333333333333336
S08816_L0215_E001,22.2222222222,55.55555555555556
S08817_L0243_E001,100.0,71.42857142857143
S08818_L0227_E001,85.7142857143,71.42857142857143
S08820_L0212_E001,0.0,40.0
S08820_L0221_E001,40.0,20.0
S08836_L0242_E001,33.3333333333,0.0
S08837_L0243_E001,90.0,100.0
S08843_L0215_E001,0.0,0.0
S08844_L0219_E001,0.0,100.0
S08844_L0225_E001,0.0,14.285714285714286
S08853_L0219_E001,100.0,100.0
S08862_L0217_E001,10.0,10.0
S08869_L0206_E001,77.7777777778,100.0
S08875_L0239_E001,0.0,0.0
S08887_L0218_E001,0.0,0.0
S08887_L0221_E001,0.0,0.0
S08889_L0200_E001,85.7142857143,100.0
S08889_L0240_E001,100.0,100.0
S08890_L0216_E001,42.8571428571,28.571428571428573
S08895_L0236_E001,0.0,0.0
S08901_L0224_E001,100.0,100.0
S08903_L0222_E001,0.0,0.0
S08905_L0225_E001,10.0,100.0
S08905_L0231_E001,70.0,100.0
S08911_L0243_E001,0.0,0.0
S08916_L0236_E001,0.0,33.333333333333336
S08922_L0236_E001,14.2857142857,0.0
S08923_L0236_E001,55.5555555556,100.0
S08929_L0243_E001,0.0,0.0
S08931_L0217_E001,70.0,90.0
S08935_L0216_E001,14.2857142857,14.285714285714286
S08939_L0222_E001,0.0,14.285714285714286
S08943_L0201_E001,0.0,25.0
S08949_L0231_E001,66.6666666667,88.88888888888889
S08950_L0231_E001,100.0,88.88888888888889
S08952_L0215_E001,0.0,12.5
S08956_L0242_E001,37.5,100.0
S08959_L0218_E001,0.0,14.285714285714286
S08959_L0221_E001,0.0,14.285714285714286
S08961_L0209_E001,100.0,37.5
S08965_L0219_E001,0.0,11.11111111111111
S08965_L0225_E001,0.0,11.11111111111111
S08973_L0201_E001,0.0,0.0
S08976_L0206_E001,0.0,14.285714285714286
S08977_L0243_E001,14.2857142857,57.142857142857146
S08979_L0206_E001,100.0,100.0
S08979_L0212_E001,100.0,100.0
S08980_L0242_E001,25.0,75.0
S08983_L0227_E001,0.0,50.0
S08987_L0206_E001,12.5,0.0
S08993_L0200_E001,0.0,0.0
S08993_L0240_E001,14.2857142857,0.0
S08998_L0224_E001,14.2857142857,14.285714285714286
S09011_L0209_E001,100.0,100.0
S09018_L0215_E001,88.8888888889,88.88888888888889
S09029_L0209_E001,0.0,25.0
S09030_L0243_E001,0.0,0.0
S09034_L0216_E001,25.0,25.0
S09040_L0231_E001,0.0,0.0
S09047_L0224_E001,75.0,100.0
S09049_L0222_E001,0.0,0.0
S09061_L0243_E001,100.0,100.0
S09065_L0222_E001,0.0,10.0
S09067_L0201_E001,0.0,10.0
S09069_L0217_E001,33.3333333333,100.0
S09071_L0215_E001,50.0,100.0
S09073_L0200_E001,100.0,100.0
S09073_L0240_E001,100.0,100.0
S09080_L0216_E001,70.0,90.0
S09086_L0222_E001,0.0,0.0
S09088_L0206_E001,0.0,0.0
S09088_L0212_E001,0.0,0.0
S09092_L0200_E001,0.0,0.0
S09092_L0240_E001,44.4444444444,0.0
S09094_L0239_E001,0.0,0.0
S09101_L0217_E001,100.0,100.0
S09107_L0239_E001,0.0,11.11111111111111
S09111_L0227_E001,14.2857142857,100.0
S09128_L0240_E001,100.0,90.0
S09136_L0224_E001,0.0,0.0
S09140_L0206_E001,10.0,10.0
S09140_L0212_E001,10.0,10.0
S09142_L0243_E001,0.0,14.285714285714286
S09144_L0224_E001,30.0,100.0
S09154_L0224_E001,0.0,0.0
S09155_L0206_E001,14.2857142857,85.71428571428571
S09156_L0236_E001,88.8888888889,100.0
S09158_L0218_E001,0.0,10.0
S09161_L0216_E001,57.1428571429,42.857142857142854
S09164_L0239_E001,0.0,50.0
S09175_L0200_E001,75.0,87.5
S09175_L0240_E001,100.0,87.5
S09181_L0219_E001,0.0,10.0
S09181_L0225_E001,0.0,10.0
S09188_L0215_E001,0.0,0.0
S09193_L0216_E001,0.0,14.285714285714286
S09196_L0215_E001,11.1111111111,33.333333333333336
S09199_L0239_E001,28.5714285714,100.0
S09203_L0206_E001,62.5,50.0
S09208_L0239_E001,0.0,14.285714285714286
S09209_L0225_E001,0.0,0.0
S09209_L0231_E001,11.1111111111,0.0
S09214_L0200_E001,100.0,100.0
S09228_L0219_E001,70.0,100.0
S09231_L0227_E001,0.0,0.0
S09245_L0206_E001,0.0,50.0
S09245_L0212_E001,0.0,75.0
S09246_L0224_E001,0.0,80.0
S09248_L0201_E001,100.0,85.71428571428571
S09250_L0212_E001,0.0,0.0
S09250_L0221_E001,0.0,0.0
S09255_L0217_E001,25.0,0.0
S09259_L0209_E001,57.1428571429,100.0
S09261_L0201_E001,88.8888888889,22.22222222222222
S09265_L0243_E001,11.1111111111,55.55555555555556
S09270_L0218_E001,100.0,100.0
S09270_L0221_E001,100.0,100.0
S09271_L0206_E001,100.0,85.71428571428571
S09271_L0212_E001,85.7142857143,100.0
S09276_L0200_E001,28.5714285714,14.285714285714286
S09277_L0243_E001,100.0,100.0
S09280_L0243_E001,100.0,100.0
S09281_L0227_E001,57.1428571429,100.0
S09282_L0209_E001,77.7777777778,100.0
S09288_L0216_E001,0.0,28.571428571428573
S09297_L0227_E001,25.0,100.0
S09298_L0206_E001,57.1428571429,0.0
S09308_L0243_E001,100.0,0.0
S09314_L0216_E001,28.5714285714,57.142857142857146
S09317_L0200_E001,28.5714285714,85.71428571428571
S09317_L0240_E001,71.4285714286,71.42857142857143
S09321_L0216_E001,100.0,87.5
S09325_L0215_E001,11.1111111111,22.22222222222222
S09328_L0216_E001,75.0,87.5
S09329_L0209_E001,28.5714285714,28.571428571428573
S09332_L0209_E001,37.5,37.5
S09338_L0227_E001,0.0,88.88888888888889
S09339_L0224_E001,0.0,50.0
S09341_L0239_E001,0.0,0.0
S09342_L0243_E001,0.0,0.0
S09345_L0215_E001,0.0,0.0
S09346_L0219_E001,100.0,42.857142857142854
S09350_L0229_E001,44.4444444444,66.66666666666667
S09350_L0242_E001,55.5555555556,88.88888888888889
S09351_L0229_E001,0.0,50.0
S09351_L0242_E001,0.0,12.5
S09352_L0229_E001,25.0,100.0
S09352_L0242_E001,100.0,100.0
S09363_L0227_E001,0.0,0.0
S09365_L0243_E001,0.0,40.0
S09366_L0215_E001,0.0,0.0
S09377_L0216_E001,0.0,12.5
S09380_L0239_E001,0.0,14.285714285714286
S09382_L0218_E001,0.0,14.285714285714286
S09382_L0221_E001,0.0,14.285714285714286
S09386_L0225_E001,28.5714285714,71.42857142857143
S09386_L0231_E001,85.7142857143,71.42857142857143
S09387_L0225_E001,20.0,20.0
S09387_L0231_E001,60.0,0.0
S09396_L0216_E001,88.8888888889,66.66666666666667
S09397_L0206_E001,14.2857142857,14.285714285714286
S09398_L0239_E001,0.0,0.0
S09402_L0201_E001,20.0,40.0
S09406_L0222_E001,0.0,0.0
S09426_L0225_E001,0.0,0.0
S09426_L0231_E001,37.5,0.0
S09438_L0218_E001,22.2222222222,88.88888888888889
S09438_L0221_E001,66.6666666667,100.0
S09446_L0222_E001,85.7142857143,100.0
S09450_L0231_E001,44.4444444444,66.66666666666667
S09451_L0216_E001,12.5,0.0
S09452_L0201_E001,28.5714285714,57.142857142857146
S09455_L0222_E001,25.0,75.0
S09459_L0219_E001,0.0,33.333333333333336
S09470_L0239_E001,0.0,11.11111111111111
S09474_L0229_E001,12.5,100.0
S09474_L0242_E001,37.5,100.0
S09480_L0209_E001,0.0,0.0
S09483_L0229_E001,0.0,40.0
S09483_L0242_E001,0.0,20.0
S09485_L0200_E001,12.5,87.5
S09485_L0240_E001,100.0,100.0
S09488_L0218_E001,12.5,87.5
S09488_L0221_E001,12.5,87.5
S09500_L0218_E001,100.0,42.857142857142854
S09502_L0242_E001,0.0,0.0
S09509_L0231_E001,100.0,87.5
S09510_L0222_E001,0.0,14.285714285714286
S09515_L0216_E001,100.0,100.0
S09519_L0219_E001,77.7777777778,100.0
S09519_L0225_E001,66.6666666667,77.77777777777777
S09525_L0224_E001,0.0,0.0
S09532_L0222_E001,0.0,0.0
S09533_L0215_E001,42.8571428571,100.0
S09540_L0219_E001,0.0,44.44444444444444
S09543_L0227_E001,0.0,71.42857142857143
S09546_L0217_E001,0.0,10.0
S09553_L0240_E001,40.0,90.0
S09554_L0239_E001,100.0,100.0
S09564_L0224_E001,0.0,62.5
S09569_L0227_E001,0.0,12.5
S09571_L0206_E001,50.0,75.0
S09571_L0212_E001,75.0,62.5
S09573_L0229_E001,0.0,50.0
S09574_L0225_E001,25.0,100.0
S09574_L0231_E001,75.0,75.0
S09577_L0239_E001,62.5,87.5
S09579_L0229_E001,14.2857142857,71.42857142857143
S09579_L0242_E001,14.2857142857,28.571428571428573
S09580_L0225_E001,12.5,0.0
S09580_L0231_E001,62.5,0.0
S09581_L0222_E001,0.0,85.71428571428571
S09586_L0239_E001,0.0,14.285714285714286
S09587_L0229_E001,30.0,60.0
S09587_L0242_E001,80.0,70.0
S09589_L0218_E001,0.0,0.0
S09596_L0224_E001,0.0,42.857142857142854
S09606_L0224_E001,0.0,0.0
S09613_L0225_E001,0.0,60.0
S09613_L0231_E001,50.0,60.0
S09615_L0227_E001,10.0,100.0
S09616_L0217_E001,62.5,87.5
S09620_L0242_E001,0.0,71.42857142857143
S09625_L0217_E001,0.0,25.0
S09626_L0243_E001,0.0,12.5
S09627_L0219_E001,0.0,37.5
S09628_L0206_E001,100.0,100.0
S09628_L0212_E001,100.0,100.0
S09634_L0240_E001,0.0,0.0
S09637_L0242_E001,0.0,14.285714285714286
S09641_L0227_E001,14.2857142857,71.42857142857143
S09646_L0201_E001,87.5,50.0
S09649_L0201_E001,90.0,70.0
S09655_L0219_E001,0.0,0.0
S09655_L0225_E001,12.5,0.0
S09666_L0216_E001,75.0,100.0
S09669_L0225_E001,33.3333333333,77.77777777777777
S09669_L0231_E001,88.8888888889,77.77777777777777
S09670_L0201_E001,100.0,100.0
S09673_L0200_E001,0.0,50.0
S09673_L0240_E001,62.5,50.0
S09676_L0229_E001,42.8571428571,100.0
S09677_L0236_E001,88.8888888889,88.88888888888889
S09678_L0209_E001,0.0,20.0
S09681_L0227_E001,14.2857142857,85.71428571428571
S09684_L0227_E001,0.0,90.0
S09689_L0209_E001,50.0,80.0
S09704_L0217_E001,100.0,100.0
S09707_L0201_E001,0.0,0.0
S09714_L0212_E001,0.0,87.5
S09714_L0221_E001,100.0,75.0
S09715_L0219_E001,0.0,0.0
S09715_L0225_E001,0.0,14.285714285714286
S09716_L0227_E001,70.0,100.0
S09719_L0236_E001,87.5,100.0
S09733_L0224_E001,0.0,88.88888888888889
S09740_L0201_E001,20.0,80.0
S09752_L0243_E001,71.4285714286,42.857142857142854
S09753_L0243_E001,20.0,20.0
S09754_L0236_E001,0.0,14.285714285714286
S09759_L0229_E001,0.0,0.0
S09765_L0227_E001,0.0,0.0
S09767_L0209_E001,100.0,100.0
S09770_L0243_E001,0.0,0.0
S09776_L0217_E001,44.4444444444,88.88888888888889
S09793_L0215_E001,0.0,0.0
S09803_L0222_E001,0.0,57.142857142857146
S09811_L0216_E001,0.0,0.0
S09818_L0236_E001,0.0,62.5
S09819_L0218_E001,0.0,0.0
S09819_L0221_E001,14.2857142857,0.0
S09824_L0212_E001,20.0,70.0
S09824_L0221_E001,70.0,80.0
S09827_L0229_E001,10.0,80.0
S09830_L0222_E001,0.0,20.0
S09833_L0216_E001,14.2857142857,0.0
S09837_L0219_E001,0.0,55.55555555555556
S09837_L0225_E001,88.8888888889,33.333333333333336
S09841_L0206_E001,0.0,14.285714285714286
S09844_L0215_E001,11.1111111111,22.22222222222222
S09846_L0218_E001,0.0,0.0
S09856_L0227_E001,33.3333333333,77.77777777777777
S09857_L0225_E001,90.0,100.0
S09857_L0231_E001,90.0,100.0
S09860_L0215_E001,0.0,42.857142857142854
S09861_L0236_E001,71.4285714286,100.0
S09862_L0201_E001,71.4285714286,85.71428571428571
S09865_L0215_E001,0.0,12.5
S09866_L0200_E001,0.0,37.5
S09870_L0216_E001,0.0,0.0
S09877_L0236_E001,0.0,0.0
S09884_L0215_E001,0.0,100.0
S09892_L0215_E001,14.2857142857,0.0
S09893_L0240_E001,88.8888888889,100.0
S09894_L0200_E001,50.0,75.0
S09894_L0240_E001,100.0,62.5
S09899_L0227_E001,42.8571428571,100.0
S09900_L0206_E001,0.0,14.285714285714286
S09903_L0212_E001,0.0,11.11111111111111
S09903_L0221_E001,0.0,0.0
S09904_L0215_E001,0.0,10.0
S09907_L0201_E001,0.0,0.0
S09908_L0224_E001,0.0,0.0
S09911_L0236_E001,40.0,70.0
S09913_L0217_E001,0.0,71.42857142857143
S09919_L0242_E001,30.0,20.0
S09922_L0231_E001,44.4444444444,0.0
S09923_L0219_E001,0.0,57.142857142857146
S09928_L0216_E001,20.0,10.0
S09934_L0229_E001,0.0,0.0
S09934_L0242_E001,0.0,0.0
S09945_L0224_E001,0.0,0.0
S09951_L0239_E001,12.5,25.0
S09952_L0219_E001,0.0,88.88888888888889
S09952_L0225_E001,66.6666666667,66.66666666666667
S09961_L0231_E001,100.0,100.0
S09969_L0243_E001,100.0,80.0
S09971_L0219_E001,0.0,12.5
S09972_L0206_E001,14.2857142857,71.42857142857143
S10000_L0236_E001,0.0,57.142857142857146
S08508_L0243_E003,100.0,100.0
S08510_L0219_E003,100.0,100.0
S08510_L0225_E003,100.0,100.0
S08512_L0212_E003,100.0,100.0
S08512_L0221_E003,100.0,100.0
S08529_L0224_E003,85.7142857143,85.71428571428571
S08532_L0236_E003,28.5714285714,100.0
S08540_L0215_E003,88.8888888889,77.77777777777777
S08546_L0212_E003,100.0,100.0
S08546_L0221_E003,100.0,100.0
S08554_L0201_E003,100.0,100.0
S08558_L0242_E003,70.0,100.0
S08561_L0219_E003,71.4285714286,100.0
S08566_L0206_E003,100.0,71.42857142857143
S08574_L0215_E003,100.0,88.88888888888889
S08576_L0217_E003,100.0,100.0
S08578_L0200_E003,100.0,100.0
S08578_L0240_E003,100.0,100.0
S08579_L0216_E003,100.0,100.0
S08582_L0229_E003,100.0,100.0
S08590_L0240_E003,87.5,75.0
S08600_L0242_E003,100.0,100.0
S08606_L0200_E003,100.0,100.0
S08613_L0218_E003,100.0,100.0
S08613_L0221_E003,100.0,100.0
S08614_L0206_E003,90.0,100.0
S08616_L0219_E003,100.0,100.0
S08616_L0225_E003,100.0,100.0
S08625_L0218_E003,100.0,100.0
S08627_L0216_E003,100.0,88.88888888888889
S08628_L0239_E003,100.0,100.0
S08636_L0239_E003,75.0,100.0
S08637_L0231_E003,100.0,100.0
S08644_L0216_E003,100.0,100.0
S08651_L0227_E003,100.0,100.0
S08652_L0216_E003,100.0,100.0
S08653_L0224_E003,100.0,100.0
S08658_L0219_E003,14.2857142857,100.0
S08658_L0225_E003,100.0,100.0
S08660_L0224_E003,100.0,100.0
S08682_L0243_E003,100.0,100.0
S08683_L0200_E003,100.0,100.0
S08686_L0219_E003,100.0,85.71428571428571
S08689_L0219_E003,100.0,100.0
S08690_L0217_E003,100.0,100.0
S08702_L0227_E003,100.0,100.0
S08703_L0217_E003,100.0,100.0
S08707_L0229_E003,87.5,100.0
S08710_L0239_E003,28.5714285714,100.0
S08713_L0212_E003,100.0,100.0
S08713_L0221_E003,100.0,100.0
S08722_L0212_E003,100.0,100.0
S08722_L0221_E003,100.0,100.0
S08725_L0236_E003,90.0,100.0
S08727_L0200_E003,100.0,100.0
S08727_L0240_E003,100.0,100.0
S08735_L0212_E003,37.5,75.0
S08735_L0221_E003,75.0,75.0
S08739_L0209_E003,80.0,100.0
S08742_L0217_E003,100.0,100.0
S08743_L0231_E003,42.8571428571,100.0
S08745_L0201_E003,100.0,85.71428571428571
S08750_L0231_E003,100.0,100.0
S08751_L0217_E003,60.0,100.0
S08752_L0222_E003,100.0,100.0
S08753_L0216_E003,88.8888888889,100.0
S08766_L0227_E003,75.0,100.0
S08767_L0215_E003,100.0,100.0
S08778_L0201_E003,85.7142857143,100.0
S08779_L0201_E003,71.4285714286,100.0
S08780_L0215_E003,100.0,100.0
S08781_L0227_E003,100.0,100.0
S08782_L0239_E003,100.0,100.0
S08785_L0200_E003,100.0,100.0
S08785_L0240_E003,100.0,100.0
S08793_L0243_E003,100.0,100.0
S08798_L0217_E003,100.0,100.0
S08800_L0239_E003,22.2222222222,100.0
S08807_L0240_E003,90.0,100.0
S08809_L0200_E003,100.0,77.77777777777777
S08809_L0240_E003,100.0,77.77777777777777
S08816_L0227_E003,55.5555555556,88.88888888888889
S08817_L0239_E003,100.0,100.0
S08818_L0217_E003,100.0,100.0
S08820_L0201_E003,90.0,100.0
S08836_L0236_E003,100.0,100.0
S08837_L0239_E003,70.0,100.0
S08843_L0229_E003,100.0,100.0
S08844_L0216_E003,85.7142857143,100.0
S08853_L0216_E003,100.0,100.0
S08854_L0240_E003,100.0,100.0
S08862_L0236_E003,80.0,100.0
S08867_L0218_E003,71.4285714286,100.0
S08867_L0221_E003,71.4285714286,100.0
S08869_L0215_E003,77.7777777778,100.0
S08875_L0219_E003,100.0,100.0
S08883_L0218_E003,100.0,100.0
S08883_L0221_E003,100.0,100.0
S08887_L0201_E003,55.5555555556,0.0
S08891_L0218_E003,100.0,100.0
S08891_L0221_E003,100.0,100.0
S08895_L0209_E003,100.0,77.77777777777777
S08897_L0206_E003,100.0,100.0
S08897_L0212_E003,100.0,100.0
S08899_L0206_E003,100.0,71.42857142857143
S08899_L0212_E003,100.0,71.42857142857143
S08901_L0200_E003,100.0,100.0
S08903_L0231_E003,100.0,100.0
S08911_L0239_E003,100.0,100.0
S08916_L0209_E003,88.8888888889,100.0
S08922_L0209_E003,85.7142857143,100.0
S08923_L0209_E003,100.0,100.0
S08928_L0243_E003,100.0,100.0
S08929_L0239_E003,100.0,100.0
S08931_L0236_E003,80.0,100.0
S08939_L0225_E003,100.0,100.0
S08939_L0231_E003,100.0,100.0
S08943_L0227_E003,87.5,100.0
S08949_L0224_E003,100.0,100.0
S08950_L0224_E003,100.0,100.0
S08952_L0227_E003,100.0,100.0
S08956_L0236_E003,87.5,100.0
S08959_L0201_E003,100.0,85.71428571428571
S08961_L0222_E003,100.0,100.0
S08965_L0216_E003,100.0,100.0
S08969_L0229_E003,100.0,100.0
S08969_L0242_E003,85.7142857143,100.0
S08971_L0240_E003,100.0,100.0
S08976_L0215_E003,71.4285714286,100.0
S08977_L0239_E003,100.0,100.0
S08979_L0215_E003,100.0,100.0
S08980_L0236_E003,50.0,62.5
S08983_L0242_E003,40.0,90.0
S08987_L0215_E003,100.0,100.0
S08998_L0200_E003,42.8571428571,57.142857142857146
S09000_L0212_E003,100.0,100.0
S09000_L0221_E003,100.0,100.0
S09011_L0222_E003,100.0,100.0
S09018_L0229_E003,100.0,100.0
S09029_L0222_E003,100.0,100.0
S09030_L0239_E003,100.0,100.0
S09040_L0224_E003,100.0,100.0
S09047_L0200_E003,100.0,100.0
S09049_L0231_E003,100.0,100.0
S09061_L0239_E003,100.0,100.0
S09065_L0225_E003,90.0,100.0
S09065_L0231_E003,100.0,100.0
S09069_L0236_E003,100.0,88.88888888888889
S09071_L0227_E003,100.0,100.0
S09078_L0240_E003,100.0,100.0
S09080_L0224_E003,100.0,100.0
S09082_L0206_E003,77.7777777778,100.0
S09082_L0212_E003,100.0,100.0
S09086_L0231_E003,80.0,90.0
S09088_L0215_E003,100.0,100.0
S09094_L0219_E003,100.0,100.0
S09101_L0236_E003,100.0,90.0
S09107_L0219_E003,100.0,100.0
S09107_L0225_E003,100.0,100.0
S09111_L0217_E003,100.0,100.0
S09125_L0243_E003,100.0,100.0
S09136_L0200_E003,85.7142857143,100.0
S09136_L0240_E003,100.0,100.0
S09140_L0215_E003,100.0,100.0
S09142_L0239_E003,100.0,100.0
S09144_L0200_E003,100.0,100.0
S09144_L0240_E003,100.0,100.0
S09152_L0240_E003,100.0,85.71428571428571
S09154_L0200_E003,100.0,100.0
S09154_L0240_E003,100.0,100.0
S09155_L0215_E003,85.7142857143,100.0
S09156_L0209_E003,100.0,100.0
S09158_L0206_E003,100.0,100.0
S09164_L0219_E003,87.5,100.0
S09181_L0216_E003,80.0,100.0
S09188_L0229_E003,100.0,100.0
S09196_L0227_E003,44.4444444444,88.88888888888889
S09199_L0219_E003,100.0,100.0
S09199_L0225_E003,100.0,100.0
S09205_L0206_E003,85.7142857143,57.142857142857146
S09205_L0212_E003,85.7142857143,85.71428571428571
S09208_L0219_E003,100.0,100.0
S09208_L0225_E003,100.0,100.0
S09214_L0218_E003,100.0,100.0
S09227_L0229_E003,100.0,100.0
S09227_L0242_E003,100.0,100.0
S09228_L0216_E003,100.0,100.0
S09231_L0242_E003,100.0,100.0
S09245_L0215_E003,100.0,87.5
S09246_L0200_E003,60.0,100.0
S09248_L0227_E003,100.0,100.0
S09250_L0201_E003,85.7142857143,100.0
S09255_L0243_E003,100.0,100.0
S09259_L0222_E003,100.0,100.0
S09262_L0212_E003,100.0,100.0
S09262_L0221_E003,100.0,100.0
S09264_L0206_E003,100.0,100.0
S09264_L0212_E003,100.0,100.0
S09265_L0239_E003,66.6666666667,100.0
S09270_L0201_E003,100.0,100.0
S09271_L0215_E003,100.0,100.0
S09274_L0206_E003,100.0,100.0
S09274_L0212_E003,100.0,100.0
S09276_L0218_E003,100.0,100.0
S09277_L0239_E003,100.0,100.0
S09280_L0239_E003,100.0,100.0
S09281_L0217_E003,100.0,100.0
S09282_L0222_E003,88.8888888889,100.0
S09288_L0224_E003,14.2857142857,100.0
S09297_L0217_E003,100.0,100.0
S09298_L0215_E003,100.0,100.0
S09306_L0212_E003,100.0,100.0
S09306_L0221_E003,75.0,100.0
S09308_L0239_E003,100.0,100.0
S09314_L0224_E003,100.0,100.0
S09315_L0218_E003,71.4285714286,100.0
S09315_L0221_E003,71.4285714286,100.0
S09325_L0229_E003,100.0,100.0
S09329_L0222_E003,0.0,100.0
S09332_L0222_E003,100.0,100.0
S09338_L0242_E003,88.8888888889,100.0
S09339_L0200_E003,100.0,100.0
S09341_L0219_E003,90.0,100.0
S09341_L0225_E003,100.0,100.0
S09342_L0239_E003,80.0,100.0
S09343_L0243_E003,100.0,71.42857142857143
S09345_L0227_E003,75.0,100.0
S09346_L0216_E003,100.0,100.0
S09362_L0243_E003,100.0,100.0
S09363_L0242_E003,100.0,100.0
S09365_L0239_E003,50.0,90.0
S09366_L0229_E003,100.0,100.0
S09380_L0219_E003,57.1428571429,100.0
S09380_L0225_E003,85.7142857143,71.42857142857143
S09382_L0201_E003,100.0,85.71428571428571
S09396_L0224_E003,100.0,100.0
S09397_L0215_E003,71.4285714286,85.71428571428571
S09398_L0219_E003,28.5714285714,100.0
S09398_L0225_E003,100.0,100.0
S09402_L0227_E003,60.0,100.0
S09406_L0231_E003,100.0,100.0
S09436_L0229_E003,100.0,100.0
S09436_L0242_E003,100.0,100.0
S09438_L0201_E003,100.0,100.0
S09446_L0225_E003,85.7142857143,100.0
S09446_L0231_E003,100.0,100.0
S09448_L0243_E003,90.0,100.0
S09450_L0224_E003,100.0,100.0
S09451_L0224_E003,100.0,100.0
S09452_L0227_E003,85.7142857143,100.0
S09455_L0231_E003,87.5,100.0
S09459_L0216_E003,100.0,88.88888888888889
S09460_L0229_E003,100.0,100.0
S09460_L0242_E003,100.0,100.0
S09463_L0212_E003,100.0,100.0
S09463_L0221_E003,100.0,100.0
S09470_L0219_E003,66.6666666667,77.77777777777777
S09470_L0225_E003,77.7777777778,77.77777777777777
S09476_L0206_E003,88.8888888889,100.0
S09476_L0212_E003,100.0,100.0
S09480_L0222_E003,50.0,100.0
S09488_L0201_E003,75.0,100.0
S09500_L0206_E003,100.0,100.0
S09502_L0236_E003,100.0,100.0
S09509_L0224_E003,100.0,100.0
S09510_L0225_E003,100.0,100.0
S09510_L0231_E003,100.0,100.0
S09519_L0216_E003,100.0,100.0
S09525_L0200_E003,55.5555555556,100.0
S09529_L0206_E003,100.0,66.66666666666667
S09532_L0225_E003,88.8888888889,100.0
S09532_L0231_E003,88.8888888889,100.0
S09533_L0227_E003,71.4285714286,100.0
S09540_L0216_E003,100.0,100.0
S09542_L0218_E003,100.0,100.0
S09542_L0221_E003,100.0,71.42857142857143
S09543_L0217_E003,100.0,100.0
